,Unnamed: 0,term1,term2,value
853,2463,sede, lagoa,5
854,2464,sede, luminosidade,5
855,2465,sede, luz,5
856,2466,sede, lácteo,5
857,2467,sede, núcleo,5
858,2468,sede, obtenção,5
859,2469,sede, odor,5
860,2470,sede, operação,5
861,2471,sede, ovo,5
862,2472,sede, oócito,5
863,2473,sede, parasitário,5
864,2474,sede, pilha,5
865,2475,sede, planejamento,5
866,2476,sede, procurar,5
867,2477,sede, raiz,5
868,2478,sede, reter,5
869,2479,sede, sol,5
870,2480,sede, sombrite,5
871,2481,sede, substância,5
872,2482,sede, tristeza,5
873,2483,sede, vacina,5
874,2484,sede, verão,5
875,2485,sede, ácido,5
876,2486,sede, órgão,5
877,2487,sede, útil,5
878,2489,regime, forrageira,5
879,2493,rasteira, pastejo,5
880,2494,máximo, alimento,5
881,2495,máximo, alto,5
882,2496,máximo, baixo,5
883,2497,máximo, cobertura,5
884,2498,máximo, elevar,5
885,2499,máximo, meio,5
886,2500,máximo, médio,5
887,2501,máximo, novilho,5
888,2502,máximo, nutritivo,5
889,2503,máximo, pelar,5
890,2504,máximo, plantio,5
891,2505,máximo, principal,5
892,2506,máximo, proteína,5
893,2507,máximo, reprodutivo,5
894,2510,presença, mocho,5
895,2513,microbiana, contaminação,5
896,2514,microbiana, proteína,5
898,2528,demora, parto,5
899,2531,consumidor, animal,5
901,2533,somático, raça,5
902,2537,cobre, novilho,5
903,2538,cobre, solo,5
904,2547,bezerra, alimento,5
905,2548,bezerra, cuidado,5
906,2549,bezerra, imunoglobulina,5
907,2550,bezerra, instalação,5
908,2551,bezerra, pastagem,5
909,2555,pico, forrageira,4
910,2556,pico, pequeno,4
911,2557,conservante, silagem,4
912,2560,cova, plantio,4
913,2562,verão, inverno,4
914,2563,verão, plantio,4
915,2566,mamário, infecção,4
916,2567,mamário, medicamento,4
917,2568,mamária, infecção,4
918,2569,mamária, medicamento,4
919,2570,leguminosa, animal,4
920,2571,leguminosa, bom,4
921,2572,leguminosa, espécie,4
922,2573,leguminosa, semente,4
923,2574,brizantha, panicum,4
924,2575,minerais, concentrado,4
925,2576,minerais, corporal,4
926,2577,minerais, seco,4
927,2578,minerais, sistema,4
928,2582,leguminoso, semente,4
929,2584,emagrecimento, vaca,4
930,2586,térmico, instalação,4
931,2591,semear, semente,4
932,2592,térmica, bom,4
933,2593,térmica, instalação,4
934,2599,doença, base,4
936,2609,cor, pequeno,4
937,2611,afetar, fósforo,4
938,2613,afetar, vaca,4
939,2619,proporção, material,4
940,2620,variação, animais,4
941,2621,variação, chuva,4
942,2622,variação, espécie,4
943,2623,variação, raça,4
944,2624,variação, rebanhar,4
945,2625,variação, sistema,4
946,2626,variação, teor,4
947,2629,ordenha, cuidado,4
948,2630,ordenha, infecção,4
949,2631,ordenha, lactação,4
950,2633,ordenha, pequeno,4
951,2635,sugador, inseto,4
952,2637,pele, genético,4
953,2638,cupim, pastagem,4
954,2639,treinamento, vaca,4
955,2641,infectocontagiosa, infectar,4
956,2642,sintomático, instalação,4
958,2647,parteiro, animal,4
959,2648,parteiro, genético,4
960,2649,parteiro, mestiço,4
961,2652,núcleo, embrião,4
962,2653,concentrado, cocho,4
963,2654,concentrado, forrageira,4
964,2656,concentrado, pelar,4
965,2657,concentrado, precoce,4
966,2658,concentrado, silagem,4
967,2659,concentrado, suplementar,4
968,2660,gênero, bactéria,4
969,2661,anaeróbia, sistema,4
970,2664,infraestrutura, vaca,4
971,2665,alumínio, pastagem,4
972,2671,corporal, magro,4
973,2674,irrigação, gramínea,4
974,2675,irrigação, plantio,4
975,2676,irrigação, seca,4
976,2679,célula, parto,4
977,2680,químico, pastagem,4
978,2681,digestão, digestãar,4
979,2682,digestão, sistema,4
981,2702,fibra, proteína,4
982,2707,principal, gordura,4
983,2713,pelagem, genético,4
984,2714,pelagem, grande,4
985,2715,pelagem, pequeno,4
986,2716,sementes, bom,4
987,2717,estimular, vaca,4
988,2718,fêmea, cobertura,4
989,2719,fêmea, novilho,4
990,2725,medo, animal,4
991,2728,fêmeo, vaca,4
992,2729,teor, açúcar,4
993,2732,teor, volumoso,4
994,2734,sintomatologia, instalação,4
996,2741,cigarra, brachiaria,4
997,2745,meio, genético,4
998,2748,concentração, alto,4
999,2749,concentração, forragem,4
1000,2751,concentração, silagem,4
1001,2752,concentração, suplementar,4
1002,2756,trator, esterco,4
1003,2757,trator, grande,4
1004,2758,trator, resíduo,4
1005,2759,trator, seco,4
1006,2760,germinação, plantio,4
1007,2769,solo, instalação,4
1008,2779,solo, árvore,4
1009,2781,material, silo,4
1010,2782,bovina, leiteiro,4
1011,2783,bovina, rebanho,4
1012,2791,baixo, bezerro,4
1013,2798,adubar, gramínea,4
1014,2801,balanço, pequeno,4
1015,2803,útil, animal,4
1016,2804,orientar, instalação,4
1017,2809,picar, pequeno,4
1018,2810,agente, base,4
1019,2813,agente, pequeno,4
1020,2821,silagem, ar,4
1021,2824,silagem, perda,4
1022,2825,ruminal, proteína,4
